first_name,last_name,age,email,country,postal_code,favorite_color,frequency_of_visits,favorite_menu_item,employment_status,Gender,Is Male,Above 30,Below 30
Sigismundo,Cranmore,75,scranmore6f@hhs.gov,China,,blue,0.2,Big Mac,Student,Male,1,1,0
Berna,Senecaux,80,bsenecaux6g@dropbox.com,China,,red,3.9,Quarter Pounder,Retired,Female,0,1,0
Felicity,Waddilove,18,fwaddilove6h@census.gov,Russia,453663,blue,2.4,Quarter Pounder,Full-time,Female,0,0,1
Feodora,O'Hannen,74,fohannen6i@bizjournals.com,Philippines,9810,green,1.9,McNuggets,Student,Female,0,1,0
Vincenty,Desorts,18,vdesorts6j@themeforest.net,China,,blue,3.5,McNuggets,Part-time,Male,1,0,1
Onida,Tomenson,77,otomenson6k@independent.co.uk,Croatia,34310,blue,2.5,McNuggets,Full-time,Female,0,1,0
Ervin,Greep,54,egreep6l@springer.com,China,,green,2.3,Quarter Pounder,Retired,Male,1,1,0
Jenny,Gledhall,20,jgledhall6m@yale.edu,China,,red,1.4,Big Mac,Retired,Female,0,0,1
Caterina,Farrants,57,cfarrants6n@alexa.com,Portugal,3025-353,red,4.0,Big Mac,Retired,Female,0,1,0
Chris,Southerden,19,csoutherden6o@youtu.be,Brazil,39620-000,red,5.1,McNuggets,Part-time,Male,1,0,1
Christophorus,Boreland,57,cboreland6p@arstechnica.com,Philippines,9002,green,6.6,McNuggets,Retired,Male,1,1,0
Guido,Gyse,25,ggyse6q@bloglovin.com,Malaysia,40706,green,2.7,McNuggets,Full-time,Male,1,0,1
Byrom,Goldstraw,48,bgoldstraw6r@sbwire.com,Cuba,,red,1.4,Big Mac,Part-time,Male,1,1,0
April,Lay,70,alay6s@163.com,Brazil,13500-000,green,5.1,Quarter Pounder,Retired,Female,0,1,0
Babette,Offin,84,boffin6t@amazonaws.com,China,,red,0.5,Big Mac,Part-time,Female,0,1,0
Penni,Kilvington,25,pkilvington6u@geocities.jp,Indonesia,,red,1.7,Big Mac,Retired,Female,0,0,1
Berenice,Spores,34,bspores6v@google.com.au,Ukraine,,blue,5.4,McNuggets,Part-time,Female,0,1,0
Stephenie,Pawels,62,spawels6w@chron.com,Iran,,green,7.0,Big Mac,Full-time,Female,0,1,0
Freeland,Keeri,60,fkeeri6x@yale.edu,Argentina,3361,red,0.2,McNuggets,Part-time,Male,1,1,0
Antin,Whitaker,23,awhitaker6y@instagram.com,Laos,,green,5.6,McNuggets,Student,Male,1,0,1
Lyle,McKevany,63,lmckevany6z@wisc.edu,Estonia,,blue,5.5,Big Mac,Student,Male,1,1,0
Arman,Thornally,67,athornally70@illinois.edu,Thailand,31150,blue,4.6,Big Mac,Full-time,Male,1,1,0
Faythe,Rumsby,78,frumsby71@ted.com,Colombia,130027,blue,2.3,Quarter Pounder,Part-time,Female,0,1,0
Jayme,Markey,28,jmarkey72@purevolume.com,Israel,,green,2.8,Quarter Pounder,Retired,Male,1,0,1
Mignon,Bonfield,75,mbonfield73@webnode.com,Iran,,blue,0.4,Quarter Pounder,Retired,Female,0,1,0
Hazel,Joye,33,hjoye74@studiopress.com,Brazil,36520-000,red,2.7,Big Mac,Student,Male,1,1,0
Zitella,McKelvie,30,zmckelvie75@imgur.com,Armenia,,red,5.3,Big Mac,Student,Female,0,1,1
Cindie,Cave,43,ccave76@businessweek.com,Portugal,5425-025,blue,2.1,McNuggets,Part-time,Female,0,1,0
Marga,Sloley,70,msloley77@psu.edu,Japan,699-3162,blue,5.8,Quarter Pounder,Full-time,Female,0,1,0
Evelyn,Bourley,69,ebourley78@opensource.org,Nigeria,,blue,4.4,Big Mac,Student,Female,0,1,0
Elvis,Suche,62,esuche79@aol.com,Japan,354-0046,blue,2.3,Quarter Pounder,Student,Male,1,1,0
Jon,Anglin,41,janglin7a@adobe.com,Czech Republic,403 40,green,3.4,Quarter Pounder,Retired,Male,1,1,0
Alexa,Shakesby,62,ashakesby7b@twitter.com,Russia,353798,blue,0.0,McNuggets,Retired,Female,0,1,0
Michelina,Ramsted,75,mramsted7c@cbsnews.com,Pakistan,50700,red,5.2,Quarter Pounder,Full-time,Female,0,1,0
Felicio,Webling,63,fwebling7d@indiegogo.com,Greece,,blue,0.5,Big Mac,Student,Male,1,1,0
Dahlia,Petkovic,20,dpetkovic7e@yahoo.co.jp,China,,red,0.9,Big Mac,Student,Female,0,0,1
Symon,Bamlett,55,sbamlett7f@mayoclinic.com,Thailand,55000,green,4.6,Quarter Pounder,Part-time,Male,1,1,0
Hobie,Monelli,53,hmonelli7g@about.me,Indonesia,,blue,0.9,Quarter Pounder,Retired,Male,1,1,0
Willey,Cheston,82,wcheston7h@cnet.com,China,,green,1.8,McNuggets,Student,Male,1,1,0
Fergus,Hodinton,68,fhodinton7i@360.cn,Argentina,1623,green,1.2,Quarter Pounder,Part-time,Male,1,1,0
Desiree,Froschauer,80,dfroschauer7j@phpbb.com,China,,blue,4.4,McNuggets,Full-time,Female,0,1,0
Roman,Licciardello,52,rlicciardello7k@wsj.com,Philippines,9615,blue,6.4,McNuggets,Retired,Male,1,1,0
Oliver,Kilian,49,okilian7l@google.de,Serbia,,green,2.3,McNuggets,Student,Male,1,1,0
Gerrilee,Gerckens,50,ggerckens7m@walmart.com,Colombia,052837,blue,3.6,Big Mac,Retired,Female,0,1,0
Dorotea,Rowson,58,drowson7n@geocities.jp,China,,red,4.2,Big Mac,Retired,Female,0,1,0
Jasmin,Newell,36,jnewell7o@baidu.com,Serbia,,green,6.9,Quarter Pounder,Student,Female,0,1,0
Chrisy,Schwandner,85,cschwandner7p@sina.com.cn,Indonesia,,blue,0.2,Big Mac,Retired,Male,1,1,0
Deana,Aikin,21,daikin7q@edublogs.org,Zimbabwe,,blue,3.2,McNuggets,Full-time,Female,0,0,1
Bertine,Livingstone,74,blivingstone7r@ning.com,Poland,39-215,green,7.0,Quarter Pounder,Full-time,Female,0,1,0
Gelya,Garbott,61,ggarbott7s@cbslocal.com,France,07404 CEDEX,green,6.0,Quarter Pounder,Full-time,Female,0,1,0
Dodie,Darycott,39,ddarycott7t@deliciousdays.com,Zimbabwe,,blue,4.2,McNuggets,Full-time,Female,0,1,0
Rene,Boyfield,41,rboyfield7u@desdev.cn,Indonesia,,blue,3.3,Quarter Pounder,Retired,Female,0,1,0
Staci,Woodison,71,swoodison7v@sciencedaily.com,Paraguay,,red,3.0,McNuggets,Part-time,Female,0,1,0
Dusty,Gowar,54,dgowar7w@elegantthemes.com,China,,green,1.3,McNuggets,Part-time,Female,0,1,0
Jo-anne,Rustman,78,jrustman7x@storify.com,Indonesia,,blue,2.1,McNuggets,Full-time,Female,0,1,0
Pammy,Stainton,28,pstainton7y@mapy.cz,Portugal,2530-407,red,6.3,McNuggets,Retired,Female,0,0,1
Codi,Pawlicki,40,cpawlicki7z@oracle.com,China,,blue,6.2,Quarter Pounder,Student,Male,1,1,0
Walsh,Bridgewood,45,wbridgewood80@amazon.co.jp,Brazil,68760-000,red,6.9,Quarter Pounder,Part-time,Male,1,1,0
Kali,Laviste,24,klaviste81@statcounter.com,China,,green,7.0,McNuggets,Student,Female,0,0,1
Shelby,Tripet,85,stripet82@nhs.uk,Indonesia,,blue,0.2,Big Mac,Full-time,Female,0,1,0
Morten,Taborre,28,mtaborre83@blog.com,China,,blue,5.5,McNuggets,Student,Male,1,0,1
Bendick,MacCart,71,bmaccart84@dedecms.com,Peru,,blue,0.3,Quarter Pounder,Full-time,Male,1,1,0
Emeline,Bartle,26,ebartle85@dot.gov,Argentina,8326,blue,6.8,McNuggets,Part-time,Female,0,0,1
Arnoldo,Jeffels,36,ajeffels86@nasa.gov,Macedonia,1312,green,5.9,Quarter Pounder,Full-time,Male,1,1,0
Terrence,Panther,40,tpanther87@dailymail.co.uk,Poland,08-107,green,3.6,McNuggets,Student,Male,1,1,0
Ronnie,Logan,70,rlogan88@sbwire.com,Philippines,7008,blue,5.2,Big Mac,Full-time,Female,0,1,0
Pace,Trunks,58,ptrunks89@netvibes.com,Kazakhstan,,blue,1.4,McNuggets,Part-time,Male,1,1,0
Marcy,Gainsbury,52,mgainsbury8a@4shared.com,Indonesia,,red,0.5,Quarter Pounder,Student,Female,0,1,0
Harper,Bricham,79,hbricham8b@privacy.gov.au,Indonesia,,green,6.2,Quarter Pounder,Part-time,Male,1,1,0
Wilburt,Shale,51,wshale8c@foxnews.com,Indonesia,,red,6.7,Quarter Pounder,Student,Male,1,1,0
Ethelind,Vallens,55,evallens8d@bbc.co.uk,Peru,,green,3.2,Quarter Pounder,Retired,Female,0,1,0
Filbert,Woolfenden,71,fwoolfenden8e@yellowpages.com,Russia,663040,red,1.9,Quarter Pounder,Full-time,Male,1,1,0
Mirabella,Kapelhoff,22,mkapelhoff8f@virginia.edu,United States,14905,red,6.1,McNuggets,Student,Female,0,0,1
Darcy,Court,25,dcourt8g@naver.com,Indonesia,,green,0.5,Big Mac,Student,Female,0,0,1
Brewster,Von Der Empten,77,bvonderempten8h@is.gd,Czech Republic,788 05,blue,6.4,Quarter Pounder,Retired,Male,1,1,0
Nelli,Mackison,33,nmackison8i@vinaora.com,Ecuador,,green,3.7,Quarter Pounder,Full-time,Female,0,1,0
Roscoe,Jobling,54,rjobling8j@youku.com,China,,blue,0.4,McNuggets,Full-time,Male,1,1,0
Gael,Cawthron,72,gcawthron8k@i2i.jp,China,,blue,0.7,Quarter Pounder,Retired,Female,0,1,0
Concettina,Retter,53,cretter8l@clickbank.net,China,,blue,3.7,Big Mac,Student,Female,0,1,0
Adda,Toderbrugge,51,atoderbrugge8m@slideshare.net,Palestinian Territory,,red,4.5,Big Mac,Student,Female,0,1,0
Darcy,Rentoll,20,drentoll8n@bigcartel.com,China,,red,4.4,McNuggets,Retired,Male,1,0,1
Debi,Emby,36,demby8o@goo.gl,French Polynesia,,red,1.4,Big Mac,Part-time,Female,0,1,0
Alaster,Spere,45,aspere8p@typepad.com,Russia,663459,red,6.0,McNuggets,Student,Male,1,1,0
Montague,Mawson,75,mmawson8q@answers.com,Russia,164896,red,5.8,McNuggets,Student,Male,1,1,0
Alfons,Treharne,47,atreharne8r@biglobe.ne.jp,Slovenia,2256,blue,5.5,Big Mac,Student,Male,1,1,0
Elicia,Chinnery,34,echinnery8s@creativecommons.org,Myanmar,,red,5.2,Big Mac,Full-time,Female,0,1,0
Opal,Plackstone,37,oplackstone8t@aboutads.info,Ukraine,,red,1.8,Quarter Pounder,Full-time,Female,0,1,0
Caleb,Beyn,73,cbeyn8u@hibu.com,Mexico,93470,red,3.0,Quarter Pounder,Student,Male,1,1,0
Garry,Coopman,51,gcoopman8v@thetimes.co.uk,Indonesia,,green,2.5,Quarter Pounder,Full-time,Male,1,1,0
Baxy,Fullick,57,bfullick8w@jigsy.com,Mexico,54414,red,6.7,Quarter Pounder,Retired,Male,1,1,0
Nat,Schoffler,18,nschoffler8x@usda.gov,Argentina,6233,blue,0.4,McNuggets,Student,Male,1,0,1
Josefina,Meaney,49,jmeaney8y@flavors.me,Indonesia,,green,5.4,Big Mac,Part-time,Female,0,1,0
Yehudi,Bewly,52,ybewly8z@elpais.com,Philippines,3503,red,6.6,Quarter Pounder,Retired,Male,1,1,0
Florian,Idwal Evans,20,fidwalevans90@ucoz.com,United States,85099,red,3.8,Big Mac,Full-time,Male,1,0,1
Lia,Mc Harg,49,lmcharg91@issuu.com,Thailand,31180,green,0.8,Quarter Pounder,Student,Female,0,1,0
Hubey,Rudyard,77,hrudyard92@hibu.com,Poland,87-404,red,2.7,Quarter Pounder,Full-time,Male,1,1,0
Gale,Wudeland,23,gwudeland93@over-blog.com,Brazil,97755-000,green,0.3,Quarter Pounder,Full-time,Female,0,0,1
Barny,Glenwright,58,bglenwright94@examiner.com,China,,green,5.5,Quarter Pounder,Full-time,Male,1,1,0
Raimund,Marklew,38,rmarklew95@newyorker.com,Indonesia,,green,2.6,Quarter Pounder,Part-time,Male,1,1,0
Obidiah,Shinner,25,oshinner96@icq.com,Netherlands,6804,green,2.9,Quarter Pounder,Student,Male,1,0,1
Fawn,Orringe,41,forringe97@icq.com,Myanmar,,red,6.8,Big Mac,Retired,Female,0,1,0
Tessa,Ratchford,62,tratchford98@google.com.br,Portugal,8970-255,blue,4.9,McNuggets,Student,Female,0,1,0
Adelaide,Trank,71,atrank99@webs.com,Bosnia and Herzegovina,,green,4.6,Quarter Pounder,Full-time,Female,0,1,0
Barnett,Cossar,64,bcossar9a@cbsnews.com,Malaysia,79518,green,3.8,Big Mac,Retired,Male,1,1,0
Jarrett,Kilpatrick,81,jkilpatrick9b@japanpost.jp,Ukraine,,blue,5.9,Quarter Pounder,Student,Male,1,1,0
Aloise,Rebert,29,arebert9c@rambler.ru,Brazil,07000-000,green,4.9,Quarter Pounder,Part-time,Female,0,0,1
Minette,Larimer,29,mlarimer9d@upenn.edu,Ukraine,,green,2.9,Quarter Pounder,Retired,Female,0,0,1
Harley,Cannan,35,hcannan9e@jugem.jp,Russia,306204,green,5.8,Big Mac,Full-time,Female,0,1,0
Harley,Curado,65,hcurado9f@drupal.org,Mozambique,,blue,6.0,Quarter Pounder,Full-time,Female,0,1,0
Thorpe,Colquhoun,77,tcolquhoun9g@flickr.com,France,63409 CEDEX,green,3.7,Quarter Pounder,Student,Male,1,1,0
Gunar,Pipe,75,gpipe9h@adobe.com,Colombia,230029,blue,1.3,McNuggets,Retired,Male,1,1,0
Kameko,Glisane,45,kglisane9i@blogspot.com,China,,green,4.0,Quarter Pounder,Part-time,Female,0,1,0
Monty,Haythorne,42,mhaythorne9j@economist.com,China,,blue,7.0,Big Mac,Full-time,Male,1,1,0
Tate,Arghent,38,targhent9k@shareasale.com,Indonesia,,red,3.7,Big Mac,Full-time,Female,0,1,0
Catie,Traylen,19,ctraylen9l@amazon.co.jp,United States,20910,blue,6.8,McNuggets,Retired,Female,0,0,1
Angelika,Cunah,58,acunah9m@hexun.com,Peru,,blue,6.8,Quarter Pounder,Part-time,Female,0,1,0
Sorcha,Flight,33,sflight9n@senate.gov,Russia,403115,red,4.2,Quarter Pounder,Student,Female,0,1,0
Tedd,Geldeard,74,tgeldeard9o@youtu.be,Philippines,2302,green,3.4,McNuggets,Retired,Male,1,1,0
Dewie,McLarnon,83,dmclarnon9p@spotify.com,Brazil,55570-000,red,0.0,McNuggets,Part-time,Male,1,1,0
Leland,Spaunton,78,lspaunton9q@un.org,Honduras,,red,6.4,McNuggets,Part-time,Female,0,1,0
Ferrell,Norvel,54,fnorvel9r@latimes.com,Brazil,15900-000,green,2.0,Quarter Pounder,Part-time,Male,1,1,0
Vanessa,Lemmens,64,vlemmens9s@mayoclinic.com,Brazil,11730-000,blue,2.5,Big Mac,Full-time,Female,0,1,0
Michal,Ollivierre,40,mollivierre9t@mac.com,Brazil,92000-000,blue,3.0,Quarter Pounder,Part-time,Male,1,1,0
Nester,MacAdam,62,nmacadam9u@printfriendly.com,China,,blue,2.3,McNuggets,Part-time,Male,1,1,0
Othella,Bettles,84,obettles9v@nbcnews.com,Ukraine,,blue,3.3,Big Mac,Part-time,Female,0,1,0
Rois,Allanson,76,rallanson9w@slideshare.net,China,,green,2.3,McNuggets,Full-time,Female,0,1,0
Blayne,Slott,53,bslott9x@earthlink.net,Kosovo,,blue,2.3,Quarter Pounder,Part-time,Male,1,1,0
Vernon,Gideon,75,vgideon9y@bluehost.com,Indonesia,,green,4.6,Big Mac,Full-time,Male,1,1,0
Lindsay,Hornung,31,lhornung9z@angelfire.com,China,,red,3.1,Quarter Pounder,Student,Male,1,1,0
Rosene,Yeld,82,ryelda0@sogou.com,Indonesia,,red,5.7,Big Mac,Full-time,Female,0,1,0
Cesar,Saywell,73,csaywella1@telegraph.co.uk,Poland,58-263,red,2.3,McNuggets,Student,Male,1,1,0
Trescha,Tawton,18,ttawtona2@phpbb.com,China,,green,6.6,Big Mac,Part-time,Female,0,0,1
Benni,Pilgram,63,bpilgrama3@buzzfeed.com,Egypt,,red,5.8,Quarter Pounder,Full-time,Female,0,1,0
Winn,Vearncombe,63,wvearncombea4@slashdot.org,China,,green,0.1,McNuggets,Student,Male,1,1,0
Cate,Cockran,72,ccockrana5@hugedomains.com,Palestinian Territory,,red,3.7,Big Mac,Part-time,Female,0,1,0
Mychal,Burnell,64,mburnella6@weather.com,Russia,678953,green,5.8,McNuggets,Student,Male,1,1,0
Gaylord,Gini,79,gginia7@usatoday.com,China,,green,0.5,McNuggets,Student,Male,1,1,0
Deloris,Castanyer,61,dcastanyera8@globo.com,South Korea,,blue,3.0,McNuggets,Full-time,Female,0,1,0
Niall,Eborall,59,neboralla9@google.pl,China,,green,5.6,Big Mac,Part-time,Male,1,1,0
Mickie,Worster,54,mworsteraa@prlog.org,Peru,,green,3.6,Big Mac,Part-time,Female,0,1,0
Koressa,Withey,53,kwitheyab@hubpages.com,Portugal,3025-348,blue,6.7,Big Mac,Retired,Female,0,1,0
Carolus,Boyles,21,cboylesac@cbslocal.com,Portugal,4940-352,blue,5.1,Big Mac,Part-time,Male,1,0,1
Tiebold,Urpeth,22,turpethad@acquirethisname.com,China,,blue,4.9,Quarter Pounder,Full-time,Male,1,0,1
Arlinda,Baddam,76,abaddamae@paypal.com,Poland,38-458,green,3.4,Big Mac,Retired,Female,0,1,0
Terrance,Roofe,20,troofeaf@imgur.com,China,,blue,0.3,McNuggets,Retired,Male,1,0,1
Victor,De'Ath,72,vdeathag@networkadvertising.org,Indonesia,,red,2.2,Quarter Pounder,Part-time,Male,1,1,0
Codie,Corkell,32,ccorkellah@arizona.edu,Poland,55-110,green,7.0,Quarter Pounder,Full-time,Female,0,1,0
Avrom,Loveless,25,alovelessai@oakley.com,Serbia,,blue,5.7,McNuggets,Part-time,Male,1,0,1
Annetta,Lindl,76,alindlaj@skyrock.com,Egypt,,blue,0.4,Quarter Pounder,Part-time,Female,0,1,0
Early,Abercrombie,60,eabercrombieak@flickr.com,Syria,,red,0.6,McNuggets,Full-time,Male,1,1,0
Iolande,Guillard,48,iguillardal@va.gov,Brazil,65218-000,red,0.5,Quarter Pounder,Retired,Female,0,1,0
Natka,Tring,48,ntringam@unesco.org,China,,red,6.9,Big Mac,Student,Female,0,1,0
Armin,Gasticke,19,agastickean@naver.com,Myanmar,,blue,1.3,Big Mac,Part-time,Male,1,0,1
Loren,Heasley,27,lheasleyao@wired.com,Russia,433940,green,2.8,Quarter Pounder,Student,Male,1,0,1
Ruperta,Huge,36,rhugeap@flickr.com,Poland,21-003,red,6.9,Quarter Pounder,Full-time,Female,0,1,0
Marcello,Ness,32,mnessaq@imgur.com,China,,blue,5.2,Quarter Pounder,Student,Male,1,1,0
Kristan,Jakubowski,82,kjakubowskiar@example.com,Japan,682-0953,green,1.7,Big Mac,Part-time,Female,0,1,0
Bettye,Brokenshaw,19,bbrokenshawas@people.com.cn,Greece,,green,2.9,Quarter Pounder,Full-time,Female,0,0,1
Nichols,Dubery,55,nduberyat@discovery.com,Sweden,457 23,red,3.5,Quarter Pounder,Full-time,Male,1,1,0
Bordy,Benoey,55,bbenoeyau@livejournal.com,Zimbabwe,,green,3.4,Big Mac,Retired,Male,1,1,0
Isabelle,Hayworth,51,ihayworthav@biglobe.ne.jp,Indonesia,,red,1.3,Big Mac,Student,Female,0,1,0
Liesa,Reap,62,lreapaw@princeton.edu,Malaysia,10450,red,4.9,McNuggets,Part-time,Female,0,1,0
Doralyn,Tirkin,61,dtirkinax@google.ru,Greece,,red,5.4,Big Mac,Retired,Female,0,1,0
Ingaberg,Girogetti,26,igirogettiay@usatoday.com,Indonesia,,red,3.7,McNuggets,Retired,Female,0,0,1
Benyamin,Boynes,26,bboynesaz@washingtonpost.com,China,,red,5.7,Big Mac,Retired,Male,1,0,1
Alexandre,Drever,29,adreverb0@tiny.cc,United States,34108,green,3.8,McNuggets,Retired,Male,1,0,1
Bernice,Shallow,56,bshallowb1@mapquest.com,China,,blue,1.4,Big Mac,Retired,Female,0,1,0
Sayre,Victoria,25,svictoriab2@php.net,Poland,11-420,red,0.7,McNuggets,Student,Female,0,0,1
Alonso,Nott,26,anottb3@creativecommons.org,Canada,H4R,green,6.2,Quarter Pounder,Part-time,Male,1,0,1
Hieronymus,Newling,45,hnewlingb4@wikispaces.com,Israel,,red,4.2,McNuggets,Full-time,Male,1,1,0
Jeni,Peaddie,67,jpeaddieb5@uol.com.br,Russia,363759,green,1.1,Quarter Pounder,Part-time,Female,0,1,0
Kellen,Lorain,38,klorainb6@ibm.com,China,,green,6.4,McNuggets,Part-time,Male,1,1,0
Jozef,Wotton,23,jwottonb7@bigcartel.com,Portugal,2330-524,red,1.3,McNuggets,Full-time,Male,1,0,1
Cyndy,Gosselin,68,cgosselinb8@smh.com.au,Indonesia,,green,5.3,Big Mac,Retired,Female,0,1,0
Kippy,Leechman,56,kleechmanb9@timesonline.co.uk,Peru,,red,5.3,Quarter Pounder,Part-time,Female,0,1,0
Jannel,Caraher,51,jcaraherba@barnesandnoble.com,Indonesia,,green,3.1,Quarter Pounder,Full-time,Female,0,1,0
Windham,Arrol,85,warrolbb@cpanel.net,China,,green,1.1,Big Mac,Student,Male,1,1,0
Hobey,Tomaello,62,htomaellobc@cpanel.net,China,,red,6.5,Big Mac,Full-time,Male,1,1,0
Ilaire,Parkisson,51,iparkissonbd@opensource.org,Peru,,red,1.3,McNuggets,Part-time,Male,1,1,0
Angeli,Zanettini,81,azanettinibe@forbes.com,Colombia,134548,blue,4.1,Big Mac,Student,Male,1,1,0
Maxy,Kitney,65,mkitneybf@house.gov,China,,blue,0.7,McNuggets,Part-time,Female,0,1,0
Ingamar,McGarrie,51,imcgarriebg@rambler.ru,Indonesia,,green,4.9,McNuggets,Part-time,Male,1,1,0
Gregg,Magnus,65,gmagnusbh@senate.gov,Brazil,58500-000,red,1.6,Big Mac,Retired,Male,1,1,0
Ara,Dayley,75,adayleybi@berkeley.edu,Philippines,8501,red,1.9,McNuggets,Full-time,Male,1,1,0
Vassili,Gavahan,26,vgavahanbj@bizjournals.com,Argentina,3522,blue,4.8,Quarter Pounder,Full-time,Male,1,0,1
Alfy,Oxnam,25,aoxnambk@flavors.me,Sweden,793 50,green,6.6,Quarter Pounder,Student,Male,1,0,1
Steward,Busfield,53,sbusfieldbl@ustream.tv,China,,blue,6.2,Quarter Pounder,Retired,Male,1,1,0
Kippy,Exeter,71,kexeterbm@nydailynews.com,China,,red,6.9,McNuggets,Student,Male,1,1,0
Abran,Ugolini,21,augolinibn@wikia.com,El Salvador,,green,2.0,McNuggets,Retired,Male,1,0,1
Franchot,McFfaden,57,fmcffadenbo@e-recht24.de,Democratic Republic of the Congo,,red,2.8,Big Mac,Full-time,Male,1,1,0
Devina,Jaimez,50,djaimezbp@yelp.com,China,,blue,1.0,Big Mac,Full-time,Female,0,1,0
Dana,Scarth,42,dscarthbq@uiuc.edu,Sweden,973 41,green,6.3,McNuggets,Full-time,Male,1,1,0
Natty,Kerbey,64,nkerbeybr@harvard.edu,Portugal,2580-128,green,3.6,Quarter Pounder,Part-time,Male,1,1,0
Myrwyn,MacCoughan,65,mmaccoughanbs@woothemes.com,Finland,41270,green,2.7,Big Mac,Student,Male,1,1,0
Marius,Sliney,55,mslineybt@forbes.com,Thailand,80140,green,0.6,McNuggets,Part-time,Male,1,1,0
Jacinta,Hammell,28,jhammellbu@nationalgeographic.com,Canada,J1X,blue,6.9,McNuggets,Student,Female,0,0,1
Anni,Munden,60,amundenbv@seesaa.net,Brazil,88160-000,blue,2.6,Big Mac,Part-time,Female,0,1,0
Abigale,Spray,73,aspraybw@senate.gov,Indonesia,,red,0.6,Quarter Pounder,Part-time,Female,0,1,0
Ciro,Tyrrell,23,ctyrrellbx@simplemachines.org,Poland,98-354,blue,4.4,Quarter Pounder,Retired,Male,1,0,1
Caren,Cardenas,63,ccardenasby@mayoclinic.com,Albania,,green,6.9,Quarter Pounder,Full-time,Female,0,1,0
Vonnie,Mitrovic,79,vmitrovicbz@nytimes.com,China,,blue,3.2,Quarter Pounder,Part-time,Female,0,1,0
Tomlin,Ettritch,67,tettritchc0@icq.com,France,66845 CEDEX,green,4.9,Quarter Pounder,Student,Male,1,1,0
Francoise,Critzen,80,fcritzenc1@alexa.com,China,,blue,6.5,Big Mac,Retired,Female,0,1,0
Otto,O'Shevlan,59,ooshevlanc2@wikia.com,Reunion,97435,green,1.6,Big Mac,Full-time,Male,1,1,0
Dorolisa,Boutcher,26,dboutcherc3@devhub.com,Czech Republic,330 21,red,2.0,Quarter Pounder,Student,Female,0,0,1
Urson,Goulbourn,59,ugoulbournc4@usatoday.com,Luxembourg,L-3883,blue,3.1,McNuggets,Part-time,Male,1,1,0
Dannie,Grigoryov,62,dgrigoryovc5@wordpress.com,China,,green,4.9,Quarter Pounder,Full-time,Female,0,1,0
Zachary,Gaven,68,zgavenc6@sohu.com,Somalia,,blue,2.8,McNuggets,Retired,Male,1,1,0
Matteo,Trevithick,77,mtrevithickc7@mediafire.com,Greece,,red,3.8,Big Mac,Retired,Male,1,1,0
Elisabet,Callis,64,ecallisc8@typepad.com,Democratic Republic of the Congo,,blue,3.9,Quarter Pounder,Part-time,Female,0,1,0
Hugo,Wisbey,72,hwisbeyc9@earthlink.net,Ukraine,,green,2.2,McNuggets,Part-time,Male,1,1,0
Belvia,Roo,42,brooca@sina.com.cn,Greece,,red,3.6,Quarter Pounder,Retired,Female,0,1,0
Boot,Danniell,44,bdanniellcb@dmoz.org,Dominican Republic,11508,red,1.4,Big Mac,Student,Male,1,1,0
Osmund,Braithwait,69,obraithwaitcc@nps.gov,Bosnia and Herzegovina,,blue,0.4,Quarter Pounder,Part-time,Male,1,1,0
Maggie,Gooddy,72,mgooddycd@tinypic.com,Mexico,14260,green,2.0,McNuggets,Retired,Female,0,1,0
Freeman,Kezourec,43,fkezourecce@wix.com,Indonesia,,blue,2.4,Quarter Pounder,Student,Male,1,1,0
Flynn,Chave,81,fchavecf@admin.ch,China,,blue,5.0,Big Mac,Student,Male,1,1,0
Arron,Drever,33,adrevercg@craigslist.org,China,,green,0.8,Big Mac,Retired,Male,1,1,0
Donavon,Riseborough,24,driseboroughch@ebay.co.uk,Philippines,2424,red,2.6,Quarter Pounder,Retired,Male,1,0,1
Dore,Pastor,29,dpastorci@aol.com,Indonesia,,red,4.0,Quarter Pounder,Student,Male,1,0,1
Kalila,Huddart,85,khuddartcj@goo.gl,Colombia,418077,green,2.9,Quarter Pounder,Full-time,Female,0,1,0
Lock,Buntine,75,lbuntineck@freewebs.com,China,,green,4.0,Big Mac,Part-time,Male,1,1,0
Charley,Winkle,72,cwinklecl@who.int,Myanmar,,green,2.9,McNuggets,Part-time,Male,1,1,0
Genevra,Janusik,41,gjanusikcm@pagesperso-orange.fr,Slovenia,4600,red,0.8,Big Mac,Student,Female,0,1,0
Minni,Poston,18,mpostoncn@elpais.com,Portugal,2550-214,green,3.5,Quarter Pounder,Student,Female,0,0,1
Daveta,Harmeston,66,dharmestonco@google.com.au,Afghanistan,,red,5.5,McNuggets,Part-time,Female,0,1,0
Minni,Shillabeer,78,mshillabeercp@tmall.com,Colombia,522068,red,6.9,Quarter Pounder,Student,Female,0,1,0
Neel,Cullington,70,ncullingtoncq@mlb.com,Iran,,blue,4.2,McNuggets,Part-time,Male,1,1,0
Joline,Steckings,83,jsteckingscr@free.fr,China,,green,6.8,Big Mac,Retired,Female,0,1,0
Roseanna,Hatchell,18,rhatchellcs@slideshare.net,Swaziland,,blue,2.4,McNuggets,Student,Female,0,0,1
Daren,Tringham,21,dtringhamct@scribd.com,United States,62705,red,4.2,Quarter Pounder,Full-time,Male,1,0,1
Lev,Raynor,18,lraynorcu@mapy.cz,United States,34282,red,1.5,Big Mac,Student,Male,1,0,1
Lemar,Martinat,61,lmartinatcv@unblog.fr,China,,red,1.2,Quarter Pounder,Part-time,Male,1,1,0
